Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
Long Table Pancakes,"Chicago, Illinois",Food & Drink,14,No Deal,—,"$140,000",15.0%,—,—,—
Dapper Boi - Body-Inclusive Apparel,"San Diego, California",Clothing & Accessories,14,No Deal,—,"$250,000",5.0%,—,—,—
Stealth Bros & Co. - Dopp Kit,"Mays Landing, New Jersey",Beauty & Health,14,Deal,"Barbara Corcoran, Mark Cuban","$200,000",15.0%,"$200,000",20.0%,E
Wondry - Cocktail Wines,"Dallas, Texas",Food & Drink,14,Deal,Mark Cuban,"$185,000",8.0%,"$225,000",15.0%,E
Frescos Naturales - Sparkling Water,"Boulder, Colorado",Food & Drink,14,Deal,Daniel Lubetzky,"$130,000",8.0%,"$130,000",25.0%,E
Sweetkiwi - Whipped Greek Yogurt,"Washington, DC",Food & Drink,14,Deal,Robert Herjavec,"$250,000",5.0%,"$250,000",16.0%,E
You Go Natural - Head Wrap,"Dallas, Texas",Clothing & Accessories,14,Deal,Mark Cuban,"$400,000",5.0%,"$400,000",10.0%,—
Pretty Rugged - Faux Fur,"Albany, New York",Clothing & Accessories,14,Deal,"Robert Herjavec, Lori Greiner","$200,000",10.0%,"$200,000",25.0%,E
FireFighter1 - Fire Hose,"Sacramento, California",Home & Tools,14,Deal,"Lori Greiner, Mark Cuban","$150,000",15.0%,"$150,000",25.0%,E
Burlap and Barrel - Herbal and Natural Spice,"New York, New York",Food & Drink,14,No Deal,—,"$500,000",5.0%,—,—,—
VoChill - Wine Chiller,"Austin, Texas",Home & Tools,14,No Deal,—,"$300,000",5.0%,—,—,—
Play Maysie - Portable Dollhouse,"Cleveland, Ohio",Kids & Toys,14,Deal,Barbara Corcoran,"$150,000",10.0%,"$150,000",20.0%,E
Halloween Moments - Pumpkin Glove Scraper,"Dallas, Texas",Home & Tools,14,No Deal,—,"$300,000",10.0%,—,—,—
FryAway - Oil Solidifier,"Concord, New Hampshire",Home & Tools,14,Deal,"Mark Cuban, Lori Greiner","$250,000",10.0%,"$250,000",22.0%,E
Crispy Cones,"Rexburg, Idaho",Food & Drink,14,Deal,Barbara Corcoran,"$200,000",10.0%,"$200,000",20.0%,E
Influencers in the Wild - Board Game,"Smithtown, New York",Entertainment & Arts,14,No Deal,—,"$500,000",10.0%,—,—,—
ShredSkinz - Sauna Suit,"Austin, Texas",Clothing & Accessories,14,Deal,Mark Cuban,"$60,000",20.0%,"$60,000",20.0%,E
Milkify - Breast Milk Freeze-Drying,"Houston, Texas",Service,14,Deal,"Gwyneth Paltrow, Lori Greiner","$400,000",10.0%,"$400,000",20.0%,E
JicaFoods - Jica-Based Foods,"Rowland Heights, California",Food & Drink,14,Deal,Barbara Corcoran,"$300,000",3.0%,"$300,000",6.0%,E
Tia Lupita Foods,"Tiburon, California",Food & Drink,14,Deal,Kevin O'Leary,"$500,000",5.0%,"$500,000",5.0%,E
Stakt - Foldable Fitness Mat,New York City,Sports & Outdoors,14,Deal,Lori Greiner,"$100,000",10.0%,"$100,000",15.0%,—
AnyTongs - Kitchen Tongs,"Clifton, New Jersey",Home & Tools,14,Deal,Daymond John,"$150,000",20.0%,"$150,000",49.0%,E
