Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
K9 Mask - Air Filter Mask For Dogs,,Pet Care,12,Deal,Daymond John,"$200,000",20.0%,"$200,000",40.0%,E
Souper Cubes Food Freezing Tray,"Los Angeles, California",Home & Tools,12,Deal,Lori Greiner,"$400,000",5.0%,"$400,000",5.0%,E
Mad Rabbit Tatoo Balm,"Cleveland, Ohio (Oliver Zak) and Accra, Ghana (Selom Agbitor)",Beauty & Health,12,Deal,Mark Cuban,"$500,000",5.0%,"$500,000",12.0%,E
Touch Up Cup Paint Container,"Cincinnati, Ohio",Home & Tools,12,Deal,Blake Mycoskie,"$150,000",10.0%,"$200,000",20.0%,E
Electra Healthy Sports Drink,"Dallas, Texas",Food & Drink,12,Deal,Barbara Corcoran,"$350,000",20.0%,"$350,000",30.0%,"E
L"
Cheese Chopper,"Portland, Oregon",Home & Tools,12,No Deal,—,"$75,000",10.0%,—,—,—
Copper Cow Coffee,"Los Angeles, California",Food & Drink,12,Deal,Robert Herjavec,"$600,000",4.0%,"$600,000",8.0%,E
Chirp Back Roller Wheel,"Lehi, Utah",Sports & Outdoors,12,Deal,Lori Greiner,"$900,000",2.0%,"$900,000",25.0%,E
SwipenSnap Diaper Cream Applicator,"Houston, Texas",Kids & Toys,12,Deal,"Kevin O'Leary, Lori Greiner","$120,000",10.0%,"$120,000",50.0%,E
Chill Systems Beverage Cooler,"Los Angeles, California",Home & Tools,12,No Deal,—,"$150,000",15.0%,—,—,—
Moment - Drink Your Meditation,,Food & Drink,12,No Deal,—,"$200,000",10.0%,—,—,—
Sienna Sauce,"Houston, Texas",Food & Drink,12,Deal,Kendra Scott,"$100,000",10.0%,"$100,000",20.0%,E
Bunch Bikes Electric Cargo Bikes For Families,"Denton, Texas",Sports & Outdoors,12,Deal,Barbara Corcoran,"$250,000",10.0%,"$250,000",15.0%,"E
L"
SparkCharge Portable EV Charger,"Somerville, Massachusetts,",Automotive & Industrial,12,Deal,"Mark Cuban, Lori Greiner","$1,000,000",6.0%,"$1,000,000",14.0%,E
ALL33 BackStrong Office Chair,"Las Vegas, Nevada",Home & Tools,12,No Deal,—,"$500,000",2.0%,—,—,—
The Matte Make-up Organizer,"Acton, Massachusetts",Beauty & Health,12,Deal,Lori Greiner,"$100,000",20.0%,"$100,000",—,E
LIT Handlers - Drink Handlers,"Buna, Texas",Home & Tools,12,Deal,Daymond John,"$200,000",10.0%,"$200,000",20.0%,E
JADA Chicken Salt All - Purpose Seasoning,"Los Angeles, California",Food & Drink,12,Deal,Barbara Corcoran,"$250,000",20.0%,"$250,000",33.0%,E
Yono Clip Suction Cup Hanger,"Atlanta, Georgia",Home & Tools,12,Deal,Daymond John,"$150,000",15.0%,"$150,000",30.0%,E
Tandm Surf Body Board For Two,"San Clemente, California",Sports & Outdoors,12,Deal,"Robert Herjavec, Daniel Lubetzky","$100,000",10.0%,"$100,000",35.0%,E
Prime 6 Charcoal,New York City,Home & Tools,12,Deal,Kevin O'Leary,"$200,000",10.0%,"$200,000",25.0%,E
The Better Bedder,"Mandeville, Louisiana",Home & Tools,12,Deal,Lori Greiner,"$150,000",10.0%,"$150,000",18.0%,E
Pluto Personalized Pillow,"City of Industry, California",Home & Tools,12,No Deal,—,"$400,000",5.0%,—,—,—
GarmaGuard Garment & Fabric Cleanser,"New York, USA",Home & Tools,12,No Deal,—,"$100,000",10.0%,—,—,—
His & Her Bar,South Florid,Food & Drink,12,No Deal,—,"$50,000",10.0%,—,—,—
FurZapper Pet Hair Remover,New Jersey,Home & Tools,12,Deal,Lori Greiner,"$600,000",10.0%,"$600,000",15.0%,E
Super Potty Trainer,New Hampshire,Kids & Toys,12,Deal,"Lori Greiner, Daymond John","$300,000",10.0%,"$300,000",50.0%,E
Surprise Cake Pop - Up Gift Cake Stand,"Newton, Massachusetts",Home & Tools,12,No Deal,—,"$200,000",8.0%,—,—,—
Nightcap Drink Cover,"West Palm Beach, Florida",Clothing & Accessories,12,Deal,Lori Greiner,"$60,000",20.0%,"$60,000",25.0%,E
Totes Babies Car Seat Carrier,"Naperville, Illinois (Lindsey Fleischhauer) and Rockford, Illinois (Stan Valiulis)",Kids & Toys,12,Deal,Lori Greiner,"$100,000",10.0%,"$100,000",22.0%,E
The Holiball Giant Inflatable Holiday Ornament,"Houston, Texas",Home & Tools,12,Deal,"Mark Cuban, Barbara Corcoran","$150,000",10.0%,"$150,000",20.0%,E
Everything Legendary Vegan Burger,"Prince George's County, Maryland",Food & Drink,12,Deal,Mark Cuban,"$300,000",10.0%,"$300,000",22.0%,E
FlingGolf FlingStick,"Boulder, Colorado",Sports & Outdoors,12,Deal,Daniel Lubetzky,"$300,000",10.0%,"$300,000",25.0%,E
Trophy Smack - Fantasy Football Trophies,"Anaheim, California",Entertainment & Arts,12,Deal,Mark Cuban,"$600,000",8.0%,"$600,000",17.0%,E
Truffle Shuffle,"Oakland, California",Food & Drink,12,Deal,Mark Cuban,"$500,000",5.0%,"$501,000",18.0%,E
Mighty Carver Turkey Chainsaw,"Sanford, Florida",Home & Tools,12,Deal,Daymond John,"$100,000",20.0%,"$100,000",25.0%,E
Rule Breaker Snacks,"Brooklyn, New York",Food & Drink,12,No Deal,—,"$400,000",10.0%,—,—,—
Numilk Dairy-Free Milk,New York City,Food & Drink,12,Deal,Mark Cuban,"$1,000,000",5.0%,"$1,000,000",7.0%,"E
L"
The Toilet Timer By Katamco,"Normal, Illinois",Home & Tools,12,Deal,Mark Cuban,"$200,000",19.0%,"$200,000",25.0%,E
Walkee Paws Dog Leggins,New York City,Pet Care,12,No Deal,—,"$150,000",5.0%,—,—,—
Float 'N' Grill Floating Grill,"Ipswich, Massachusetts",Sports & Outdoors,12,Deal,Daniel Lubetzky,"$100,000",20.0%,"$100,000",22.5%,E
BootayBag Womens Underwear Subscription,,Clothing & Accessories,12,Deal,Kendra Scott,"$500,000",5.0%,"$500,000",10.0%,E
Slice of Sauce Condiment Slices,"Los Angeles, California",Food & Drink,12,Deal,Alex Rodriguez,"$200,000",10.0%,"$1,000,000",15.0%,"E
L"
Suds2Go Portable Hand Washing System,"Gilbert, Arizona",Beauty & Health,12,Deal,Robert Herjavec,"$200,000",10.0%,"$200,000",15.0%,E
Flipstik Phone Mount & Stand,"St Louis, Missouri",Home & Tools,12,Deal,Lori Greiner,"$100,000",20.0%,"$100,000",25.0%,E
MountainFlow Eco-Wax,"Carbondale, Colorado",Sports & Outdoors,12,Deal,"Kevin O'Leary, Barbara Corcoran","$250,000",10.0%,"$300,000",20.0%,E
XTorch Solar-Powered Flashlight,"Minnesota, US",Home & Tools,12,No Deal,—,"$150,000",10.0%,—,—,—
ODR Skis,Alaska,Sports & Outdoors,12,No Deal,—,"$350,000",10.0%,—,—,—
OpulenceMD Beauty Magnetic Lashes,"Greensboro, North Carolina",Beauty & Health,12,Deal,Kendra Scott,"$75,000",5.0%,"$100,000",20.0%,E
The Original Stretchlace Elastic Shoe Laces,"Boise, Idaho",Clothing & Accessories,12,Deal,Robert Herjavec,"$100,000",15.0%,"$100,000",30.0%,E
GoOats Oatmeal Balls,"Alexandria, Virginia",Food & Drink,12,Deal,Nahum Jeannot,"$150,000",10.0%,"$150,000",25.0%,E
Love Is Project Bracelets,"Los Angeles, California",Clothing & Accessories,12,No Deal,—,"$250,000",5.0%,—,—,—
Salad Sling,"Austin, Texas",Home & Tools,12,No Deal,—,"$100,000",20.0%,—,—,—
Fitfighter Weighted Exercise Hose,"Baltimore, Maryland",Beauty & Health,12,Deal,Daniel Lubetzky,"$250,000",15.0%,"$250,000",25.0%,E
Jax Sheets - Bed Sheets For Men,"Jacksonville, Florida",Home & Tools,12,No Deal,—,"$212,000",10.0%,—,—,—
Hairy Grabster Shower Hair Trap,"Orland Park, Illinois",Home & Tools,12,No Deal,—,"$75,000",20.0%,—,—,—
Buckle Me Baby Coats,"Windham, New Hampshire",Clothing & Accessories; Kids & Toys,12,Deal,Daymond John,"$100,000",10.0%,"$100,000",20.0%,E
Hopscotch Game Coding App For Kids,"Brooklyn, New York",,12,Deal,Mark Cuban,"$400,000",4.0%,"$550,000",11.0%,E
Dino Don Robotic Dinosaurs,"Philadelphia, Pennsylvania",Entertainment & Arts,12,Deal,Mark Cuban,"$500,000",10.0%,"$500,000",25.0%,E
Pooch Paper Dog Waste Sheets,"Barbara, New York City",Pet Care,12,Deal,Kevin O'Leary,"$250,000",12.0%,"$250,000",0%,R
Luna Magic Makeup,"Los Angeles, California",Beauty & Health,12,Deal,Barbara Corcoran,"$200,000",10.0%,"$250,000",30.0%,"E
L"
LARQ Self-cleaning Water Bottle,"San Francisco Bay Area, California",Home & Tools,12,Deal,"Lori Greiner, Kevin O'Leary","$500,000",1.0%,"$1,000,000",4.0%,E
LIFTiD Neurostimulation Headband,"New York City, United States",Tech & Electronics,12,No Deal,—,"$200,000",10.0%,—,—,—
The Pizza Cupcake,New York City,Food & Drink,12,Deal,Lori Greiner,"$125,000",5.0%,"$125,000",12.0%,E
Grind Basketball Machine,"Greater Houston Area, Southern US",Sports & Outdoors,12,Deal,"Mark Cuban, Barbara Corcoran","$250,000",5.0%,"$250,000",25.0%,E
Peekaboo Ice Cream With Hidden Veggies,"Miami Beach, Florida",Food & Drink,12,No Deal,—,"$800,000",8.0%,—,—,—
Simply Good Jars,"Philadelphia, Pennsylvania",Food & Drink,12,Deal,"Mark Cuban, Lori Greiner","$500,000",7.0%,"$500,000",10.0%,E
StepNPull Door Opener,"Springfield, Missouri",Home & Tools,12,Deal,Kevin O'Leary,"$300,000",3.0%,"$300,000",6.0%,E
P-nuff Crunch Peanut Snack,"West Orange, New Jersey",Food & Drink,12,Deal,Mark Cuban,"$300,000",10.0%,"$400,000",25.0%,E
Bubbly Blaster Champagne Sprayer Gun,"West Hollywood, California",Entertainment & Arts,12,Deal,"Mark Cuban, Alex Rodriguez","$120,000",20.0%,"$180,000",30.0%,E
Jiggy Puzzles,New York City,Entertainment & Arts,12,Deal,Mark Cuban,"$500,000",5.0%,"$500,000",10.0%,E
Foam Party Hats,"Houston, Texas",Entertainment & Arts,12,Deal,"Mark Cuban, Lori Greiner","$100,000",15.0%,"$100,000",25.0%,E
IceBeanie Headache Cold Pack Hat,"Santa Cruz, California",Beauty & Health,12,Deal,Mark Cuban,"$50,000",20.0%,"$50,000",25.0%,E
Creation Nation No-bake Protein & Energy Bite Mix,"Los Angeles Metropolitan Area, California",Food & Drink,12,No Deal,—,"$300,000",12.0%,—,—,—
Brake Free - Motorcycle Helmet Brake Light,"Broomfield, Colorado",Automotive & Industrial,12,Deal,"Robert Herjavec, Mark Cuban","$200,000",10.0%,"$200,000",20.0%,E
Pinch Me Therapy Dough,"Milton, Delaware",Beauty & Health,12,Deal,Robert Herjavec,"$300,000",7.0%,"$300,000",20.0%,E
DynoSafe Delivery Lockbox,Arizona,Home & Tools,12,Deal,Robert Herjavec,"$150,000",15.0%,"$150,000",25.0%,E
Hug Sleep Adult Sleeping Pod,"Milwaukee, Wisconsin",Home & Tools,12,Deal,"Mark Cuban, Lori Greiner","$150,000",10.0%,"$300,000",20.0%,E
Quevos Egg White Chips,"Chicago, Illinois",Food & Drink,12,Deal,Daniel Lubetzky,"$200,000",5.0%,"$400,000",10.0%,"E
L"
Misfit Foods Meats - Now Phil`s World,"Brooklyn, New York",Food & Drink,12,Deal,"Mark Cuban, Daniel Lubetzky","$250,000",5.0%,"$300,000",15.0%,E
Bee d'Vine Honey Wine,"Sonoma, California",Food & Drink,12,Deal,"Mark Cuban, Lori Greiner, Robert Herjavec, Daniel Lubetzky","$750,000",20.0%,"$750,000",40.0%,E
Draft Top Beer Can Opener,New Jersey,Home & Tools,12,Deal,Daymond John,"$300,000",10.0%,"$300,000",20.0%,E
SneakErasers Instant Sneaker Cleaner,"Elmore, Ohio, and Chagrin Falls, Ohio",Home & Tools,12,Deal,"Lori Greiner, Alex Rodriguez","$200,000",8.0%,"$200,000",20.0%,E
Click & Carry Bag Carrier Handle,"Los Angeles, California",Home & Tools,12,Deal,"Barbara Corcoran, Mark Cuban","$225,000",15.0%,"$225,000",40.0%,E
Muff Waders Beer Cooler Overalls,"Holstein, Iowa",Clothing & Accessories,12,No Deal,—,"$25,000",25.0%,—,—,—
Probiotic Maker,"South Jordan, Utah",Food & Drink,12,No Deal,—,"$150,000",7.0%,—,—,—
Animated Lure Motorized Fishing Lure,"Plano, Texas",Sports & Outdoors,12,Deal,Kevin O'Leary,"$325,000",10.0%,"$325,000",10.0%,"E
R
L"
Brumachen Brewer Portable Coffee Maker,"Indiana, United States",Food & Drink,12,No Deal,—,$1,10.0%,—,—,—
The Scrubbie Universal Cleaning Attachment,New York City,Home & Tools,12,No Deal,—,"$100,000",10.0%,—,—,—
Bad Birdie Golf Apparel,"Scottsdale, Arizona",Clothing & Accessories,11,Deal,Robert Herjavec,"$300,000",10.0%,"$300,000",20.0%,E
Boost Oxygen - Portable Oxygen,"Milford, Connecticut",Beauty & Health,11,Deal,Kevin O'Leary,"$1,000,000",5.0%,"$1,000,000",—,—
Supply Razor,"Fort Worth, Texas",Beauty & Health,11,Deal,Robert Herjavec,"$300,000",10.0%,"$300,000",15.0%,E
LoveSync,"Akron, Ohio",Tech & Electronics,11,No Deal,—,"$100,000",10.0%,—,—,—
Coconut Girl - Ice Cream Sandwiches,"Phoenix, Arizona",Food & Drink,11,Deal,Mark Cuban,"$180,000",18.0%,"$180,000",20.0%,E
JiggAerobics,"Baton Rouge, Louisiana",Sports & Outdoors,11,No Deal,—,"$50,000",12.0%,—,—,—
Tailgate N Go - Portable Outdoor Kitchen,"Grand Junction, Colorado",Sports & Outdoors,11,Deal,Matt Higgins,"$250,000",10.0%,"$250,000",20.0%,—
Koko Face Yoga,"Los Angeles, California",Beauty & Health,11,No Deal,—,"$200,000",20.0%,—,—,—
EZC Pak - Immune Support Supplement,"Los Angeles, California",Beauty & Health,11,Deal,Kevin O'Leary,"$125,000",5.0%,"$125,000",5.0%,—
Wanna Date? - Date Spreads,"New York, New York",Food & Drink,11,Deal,Mark Cuban,"$100,000",20.0%,"$100,000",33.0%,E
Pair Eyewear,"Stanford, California",Clothing & Accessories,11,Deal,"Lori Greiner, Katrina Lake","$400,000",10.0%,"$400,000",10.0%,—
Mural Painter Inc.,New York City,Service,11,Deal,Barbara Corcoran,"$300,000",15.0%,"$300,000",15.0%,—
NERDiT NOW - Device Repairs,"Wilmington, Delaware",Service,11,No Deal,—,"$150,000",20.0%,—,—,—
Atlas Monroe - Plant-Based Cuisine,"San Francisco Bay Area, California",Food & Drink,11,No Deal,—,"$500,000",10.0%,—,—,—
Baubles + Soles,"Huntington Beach, California",Kids & Toys,11,Deal,Daymond John,"$100,000",15.0%,"$100,000",25.0%,E
Genius Juice - Organic Smoothies,"Torrance, California",Food & Drink,11,Deal,"Mark Cuban, Barbara Corcoran","$250,000",7.0%,"$500,000",25.0%,E
KidsLuv - Vitamin Enhanced Drinks,"Marina Del Rey, California",Food & Drink; Kids & Toys,11,No Deal,—,"$200,000",8.0%,—,—,—
UnbuckleMe - Kids Car Seat Tool,"Houston, Texas",Kids & Toys,11,Deal,"Lori Greiner, Mark Cuban","$100,000",10.0%,"$100,000",20.0%,E
Dreamland Baby - Weighted Sleep Sacks,"Danville, California",Kids & Toys,11,Deal,Lori Greiner,"$100,000",10.0%,"$100,000",—,E
Golfkicks - DIY Golf Spikes Kit,"Denver, Colorado",Sports & Outdoors,11,Deal,Mark Cuban,"$300,000",8.0%,"$300,000",13.0%,E
Kit Lender - Ski and Snowboard Clothing,"Stowe, Vermont",Service; Sports & Outdoors,11,No Deal,—,"$200,000",7.0%,—,—,—
Eterneva - Memorial Diamonds,"Austin, Texas",Service,11,Deal,Mark Cuban,"$600,000",5.0%,"$600,000",9.0%,E
Dog Threads,"Minneapolis, Minnesota",Clothing & Accessories; Pet Care,11,Deal,Mark Cuban,"$250,000",17.0%,"$250,000",25.0%,E
Rapid Rope,"Eagle, Idaho",Sports & Outdoors,11,Deal,Barbara Corcoran,"$200,000",20.0%,"$200,000",30.0%,E
Swimply - Pool Rental App,"Arlington, Virginia",Apps,11,No Deal,—,"$300,000",5.0%,—,—,—
Tanoshi Kids Laptop,"Oakland, California",Kids & Toys; Tech & Electronics,11,Deal,Daymond John,"$500,000",8.0%,"$500,000",20.0%,E
The Mad Optimist Soap & Bath,"Bloomington, Indiana",Beauty & Health,11,Deal,Mark Cuban,"$60,000",10.0%,"$60,000",20.0%,E
Pasta by Hudson,"New York, New York",Home & Tools,11,Deal,"Mark Cuban, Lori Greiner","$150,000",10.0%,"$150,000",30.0%,E
M.C. Squares - Reusable Whiteboard Tools,"Denver, Colorado",Home & Tools,11,Deal,Kevin O'Leary,"$300,000",10.0%,"$300,000",25.0%,E
Little ELF - Gift Wrap Cutter,"West Boylston, Massachusetts",Home & Tools,11,Deal,Lori Greiner,"$150,000",15.0%,"$150,000",20.0%,E
Baobab Clothing,"New York, New York",Clothing & Accessories,11,No Deal,—,"$150,000",10.0%,—,—,—
Peanut Butter Pump,"Burbank, California",Home & Tools,11,No Deal,—,"$200,000",15.0%,—,—,—
Ready. Set. Food!,"Los Angeles, California",Kids & Toys,11,Deal,Mark Cuban,"$350,000",7.0%,"$350,000",10.0%,E
Space Traveler - Kid's Car Seat Cover,"San Antonio, Texas",Kids & Toys,11,Deal,Barbara Corcoran,"$100,000",33.0%,"$100,000",—,—
PROVEN Skincare,"San Francisco, California",Beauty & Health,11,No Deal,—,"$500,000",5.0%,—,—,—
RollinGreens - Plant-based Proteins,"Boulder, Colorado",Food & Drink,11,Deal,Robert Herjavec,"$500,000",10.0%,"$500,000",20.0%,E
Goumi Kids,"Beaverton, Oregon",Kids & Toys,11,Deal,Kevin O'Leary,"$1,000,000",8.0%,"$1,000,000",10.0%,—
Rescue Ready - Emergency Escape Ladder,"Norfolk, Virginia",Home & Tools,11,No Deal,—,"$75,000",15.0%,—,—,—
SlumberPod - Sleep Solution for Babies,"Atlanta, Georgia",Kids & Toys,11,Deal,Barbara Corcoran,"$400,000",20.0%,"$400,000",20.0%,E
Just The Cheese,"Reeseville, Wisconsin",Food & Drink,11,No Deal,—,"$500,000",5.0%,—,—,—
Aira - Wireless Charging Solution,"Phoenix, Arizona",Tech & Electronics,11,Deal,"Robert Herjavec, Kevin O'Leary, Lori Greiner","$500,000",7.0%,"$500,000",15.0%,E
The Yard Milkshake Bar,"Gulf Shores, Alabama",Food & Drink,11,Deal,Mark Cuban,"$400,000",10.0%,"$400,000",22.0%,E
Ka-Pop! Snacks,"Denver, Colorado",Food & Drink,11,No Deal,—,"$350,000",5.0%,—,—,—
Bertello Pizza Oven,"Afton, Minnesota",Home & Tools,11,Deal,Kevin O'Leary,"$120,000",10.0%,"$120,000",25.0%,E
Van Robotics - Robot Tutors,"Chapin, South Carolina",Tech & Electronics,11,No Deal,—,"$300,000",10.0%,—,—,—
Yellow Leaf Hammocks,"San Francisco, California",Home & Tools,11,Deal,Daniel Lubetzky,"$400,000",7.0%,"$1,000,000",25.0%,E
Critter Pricker - Raccoon Spikes,"Shohola, Pennsylvania",Home & Tools,11,Deal,Kevin O'Leary,"$115,000",15.0%,"$115,000",15.0%,—
Slate Milk,"Boston, Massachusetts",Food & Drink,11,No Deal,—,"$400,000",10.0%,—,—,—
Blueland - Eco-friendly Cleaning Products,"New York, New York",Home & Tools,11,Deal,Kevin O'Leary,"$270,000",2.0%,"$270,000",3.0%,—
Fortress Winter Clothing,"Mount Pleasant, Utah",Sports & Outdoors,11,No Deal,—,"$600,000",15.0%,—,—,—
Neuro - Energy Caffeine Gum,"Las Vegas, Nevada",Food & Drink,11,No Deal,—,"$750,000",5.0%,—,—,—
Squid Socks - Baby Socks,"Everett, Washington",Kids & Toys,11,Deal,Daymond John,"$125,000",20.0%,"$125,000",33.0%,E
Gallant - Stem Cell Banking for Pets,"San Diego, California",Pet Care,11,Deal,"Lori Greiner, Anne Wojcicki","$500,000",2.0%,"$500,000",5.0%,E
Bala Bangles - Fitness Equipment,"Los Angeles, California",Sports & Outdoors,11,Deal,"Mark Cuban, Maria Sharapova","$400,000",10.0%,"$900,000",30.0%,E
Boho Camper Vans,"Tempe, Arizona",Service,11,Deal,Barbara Corcoran,"$300,000",10.0%,"$300,000",10.0%,—
Tough Apparel,"Mesa, Arizona",Clothing & Accessories,11,Deal,Robert Herjavec,"$100,000",15.0%,"$100,000",35.0%,E
The Frozen Farmers - Frozen Ice Cream,"Bridgeville, Delaware",Food & Drink,11,Deal,Lori Greiner,"$125,000",20.0%,"$125,000",30.0%,E
Salted Restaurant Delivery,"Santa Monica, San Francisco",Food & Drink,11,No Deal,—,"$500,000",5.0%,—,—,—
MinusCal Snack Bar,"Greater Nashville Area, Tennessee",Food & Drink,11,No Deal,—,"$500,000",20.0%,—,—,—
Zuum - Self-Balancing E-Skates,"Portland, Oregon",Tech & Electronics,11,No Deal,—,"$125,000",20.0%,—,—,—
Seriously Slime,"Evanston, Illinois",Entertainment & Arts; Kids & Toys,11,No Deal,—,"$90,000",15.0%,—,—,—
Knife Aid - Knife Sharpening Service,"Agoura Hills, California",Service,11,Deal,"Lori Greiner, Rohan Oza","$400,000",15.0%,"$500,000",20.0%,E
Mrs. Goldfarb's Unreal Deli,"Los Angeles, California",Food & Drink,11,Deal,Mark Cuban,"$100,000",10.0%,"$250,000",20.0%,E
Shake It Pup! - Dog Food Seasoning,"Sunset Beach, California",Pet Care,11,Deal,Mark Cuban,"$100,000",20.0%,"$100,000",25.0%,E
Bohana - Popped Water Lily Seeds,"Boston, Massachusetts",Food & Drink,11,Deal,Kevin O'Leary,"$200,000",10.0%,"$200,000",8.0%,—
Lord Von Schmitt - Crocheted Clothing,"Nevada City, California",Clothing & Accessories,11,No Deal,—,"$100,000",10.0%,—,—,—
Easy Treezy - Artificial Christmas Trees,"Miami Beach, Florida",Home & Tools,11,No Deal,—,"$400,000",10.0%,—,—,—
MUVEZ Footwear,"Jersey City, New Jersey",Clothing & Accessories,11,Deal,Daymond John,"$200,000",15.0%,"$200,000",25.0%,E
The Baby Toon - Silicone Baby Spoon,"Honolulu, Hawaii",Kids & Toys,11,Deal,Lori Greiner,"$50,000",50.0%,"$50,000",50.0%,E
MyoStorm - Massage Therapy Ball,"Springville, Utah",Beauty & Health; Sports & Outdoors,11,Deal,Lori Greiner,"$150,000",10.0%,"$150,000",5.0%,—
FlexScreen - Flexible Window Screens,"Export, Pennsylvania",Home & Tools,11,Deal,Lori Greiner,"$800,000",6.0%,"$800,000",50.0%,—
First Saturday Lime - Eco-Friendly Insect Repellent,"Okarche, Oklahoma",Home & Tools,11,Deal,Kevin O'Leary,"$100,000",10.0%,"$100,000",25.0%,E
Bug Bite Thing - Insect Bite Relief,"Port St Lucie, Florida",Home & Tools,11,Deal,Lori Greiner,"$150,000",10.0%,"$150,000",10.0%,E
Terra-Core - Home Gym Equipment,"Salt Lake City, Utah",Sports & Outdoors,11,Deal,Lori Greiner,"$300,000",15.0%,"$300,000",—,E
Pips & Bounce - Ping Pong Place,"Portland, Oregon",Service,11,No Deal,—,"$500,000",10.0%,—,—,—
Grouphug Solar - Window Solar Chargers,"New York, New York",Tech & Electronics,11,Deal,Mark Cuban,"$150,000",10.0%,"$150,000",25.0%,E
DadWare Bondaroo Shirt,Los Angeles California,Clothing & Accessories,11,No Deal,—,"$100,000",20.0%,—,—,—
Beardaments Beard Ornaments,"Salt Lake City, Utah",Clothing & Accessories,11,Deal,Kevin O'Leary,"$150,000",10.0%,"$150,000",25.0%,E
PrepWell Academy,"San Diego, California",Service,11,No Deal,—,"$100,000",20.0%,—,—,—
TaDah Foods,"Fairfax, Virginia",Food & Drink,11,Deal,Daniel Lubetzky,"$300,000",10.0%,"$500,000",25.0%,E
The Measuring Shovel,"Gallatin, Tennessee",Home & Tools,11,Deal,"Lori Greiner, Kevin O'Leary","$40,000",15.0%,"$40,000",30.0%,E
Wise Pocket Socks,"Solana Beach, California",Clothing & Accessories,11,Deal,"Lori Greiner, Daymond John","$30,000",15.0%,"$35,000",25.0%,E
Bite Toothpaste Bits,"Marina del Rey, California",Beauty & Health,11,No Deal,—,"$325,000",5.0%,—,—,—
Fried Green Tomatoes,"Lebanon, Tennessee",Food & Drink,11,Deal,Barbara Corcoran,"$200,000",15.0%,"$200,000",30.0%,E
Plop Star - Bathroom Deodorizer,"Greater Chicago Area, Illinois",Home & Tools,11,No Deal,—,"$150,000",10.0%,—,—,—
Outer - Premium Outdoor Furniture,"Santa Monica, California",Home & Tools,11,Deal,Lori Greiner,"$750,000",4.0%,"$750,000",5.0%,—
Fur Oil,"New York, New York",Beauty & Health,11,Deal,Lori Greiner,"$500,000",2.0%,"$500,000",8.0%,E
Safety Nailer,"Yorktown, Virginia",Home & Tools,11,Deal,"Lori Greiner, Rohan Oza, Mark Cuban","$100,000",14.0%,"$100,000",33.0%,E
Potty Safe - Child-Proof Potty Training Chair,"Exeter, Missouri",Kids & Toys,11,No Deal,Lori Greiner,"$50,000",15.0%,"$50,000",20.0%,E
Beddley - Zippered Duvet Covers,"Hollywood, California",Home & Tools,11,No Deal,—,"$150,000",10.0%,—,—,—
Circadian Optics - Therapy Lamps,"St Paul, Minnesota",Beauty & Health,11,Deal,"Mark Cuban, Lori Greiner","$750,000",10.0%,"$750,000",20.0%,—
Pili Hunters - Wild Sprouted Pili Nuts,"Bend, Oregon",Food & Drink,11,No Deal,—,"$325,000",10.0%,—,—,—
Kreyol Essence - Natural Beauty Products,"Miami, Florida",Beauty & Health,11,Deal,Kevin O'Leary,"$400,000",10.0%,"$400,000",5.0%,—
BabyQuip - Baby Equipment Rentals,"San Francisco, California",Kids & Toys; Service,11,No Deal,—,"$500,000",5.0%,—,—,—
Little Burros - Gardening Tools,"Alexandria, Virginia",Home & Tools,11,No Deal,—,"$250,000",10.0%,—,—,—
Snacklins - Plant Crisps,"Rockville, Maryland",Food & Drink,11,Deal,Mark Cuban,"$250,000",2.0%,"$250,000",5.0%,E
Soupergirl Soup,"Washington, DC",Food & Drink,10,No Deal,—,"$500,000",10.0%,—,—,—
Ski-Z Rolling Ski Carrier,"Aspen, Colorado",Sports & Outdoors,10,Deal,Barbara Corcoran,"$50,000",15.0%,"$50,000",15.0%,E
Aquapaw Bathing Tool,"San Jose, California",Pet Care,10,No Deal,—,"$200,000",7.0%,—,—,—
Pooch Selfie Dog Products,"San Diego, California",Pet Care,10,Deal,Daymond John,"$100,000",20.0%,"$100,000",33.0%,E
Fat Shack Late Night Food,"Fort Collins, Colorado",Food & Drink,10,Deal,Mark Cuban,"$250,000",7.0%,"$250,000",15.0%,E
Flip It Cap Empties Bottles Upside Down,"Tenafly, New Jersey",Home & Tools,10,No Deal,—,"$500,000",10.0%,—,—,—
RewardStock Travel Points Manager - Now Part of Experian,"Raleigh, North Carolina",Apps,10,Deal,Mark Cuban,"$200,000",10.0%,"$320,000",10.0%,E
Yumble Kids Meal Delivery Kits,"Englewood, New Jersey",,10,Deal,Bethenny Frankel,"$500,000",4.0%,"$500,000",6.0%,E
Fresh Bellies,"Westchester, New York",Kids & Toys,10,No Deal,—,"$275,000",5.0%,—,—,—
Toybox 3D Printer For Kids,"Oakland, California",,10,Deal,Kevin O'Leary,"$150,000",5.0%,"$150,000",13.0%,E
Best Pocket Square Holder,"St Louis, Missouri",Clothing & Accessories,10,Deal,Daymond John,"$200,000",15.0%,"$200,000",0%,R
Bundil Turns Spare Change Into Cryptocurrency,"Dallas, Texas",Apps,10,Deal,Kevin O'Leary,"$100,000",10.0%,"$100,000",50.0%,E
